zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services
13651,153,153,153,0,0,0,0,1.869512195121951,0.0,67,86,106,94,54,69.1,3.0,2.0,135833,162655,0.0
13652,1696,1683,1663,0,0,6,13,2.5007840236686394,1.9000000000000001,813,883,424,319,149,43.4,234.0,13.8,45417,60037,0.3537313432835821
13654,2722,2706,2673,15,2,20,16,3.0048214285714288,4.3,1485,1237,529,356,170,33.5,798.0,29.5,47273,67214,0.29933269780743565
13655,3431,3179,191,0,107,0,252,2.908975234842015,2.9,1546,1885,966,577,153,43.7,431.0,12.6,41613,72969,0.3971774193548387
13656,3108,3045,3026,5,0,5,63,3.296818663838812,5.3,1614,1494,545,364,94,32.7,353.0,11.5,56953,76591,0.30448979591836733
13658,2288,2233,2204,8,0,11,55,2.4880220994475137,3.4,1097,1191,558,400,159,45.3,275.0,12.4,59583,80836,0.306841046277666
13659,479,474,474,0,0,0,5,2.4084422110552763,0.0,241,238,147,88,28,55.2,105.0,22.3,55625,64988,0.3160621761658031
13660,1558,1526,1495,7,5,25,32,2.5362794612794612,1.2,800,758,340,231,101,40.6,241.0,15.7,54189,74154,0.2453083109919571
13661,1368,1362,1318,24,0,25,6,2.6855882352941176,2.0,658,710,373,248,80,39.5,169.0,12.6,64111,79631,0.18282988871224165
13662,16069,15935,15044,14,195,78,134,2.2125514519312093,1.5,7238,8831,4258,3105,1416,42.8,2828.0,18.0,50154,73321,0.25278644672313866
13664,292,281,269,7,2,8,11,2.1831250000000004,2.3,141,151,97,73,18,51.7,61.0,20.9,66875,88730,0.31746031746031744
13665,703,703,703,0,0,0,0,2.0683823529411764,3.8,404,299,228,147,38,54.2,79.0,11.2,47439,66620,0.37677053824362605
13666,228,227,218,0,0,9,1,2.4251063829787234,0.0,99,129,56,45,23,49.4,61.0,26.8,44375,79656,0.39361702127659576
13667,3118,3049,2941,61,4,65,69,2.3484162895927603,4.8,1528,1590,715,492,160,34.6,587.0,19.0,41682,58160,0.29013854930725347
13668,3291,3283,3157,19,20,34,8,2.2521107266435987,0.3,1649,1642,837,600,225,39.6,435.0,13.3,53832,81646,0.3263157894736842
13669,15782,15187,13801,749,172,907,595,2.257113654946852,0.8999999999999999,8553,7229,4038,2881,1286,43.3,2394.0,17.3,48177,70556,0.2705040758609216
13670,434,419,408,0,2,4,15,2.3089893617021273,0.0,234,200,163,121,48,52.6,65.0,15.0,41389,56607,0.4064516129032258
13672,763,729,720,0,0,0,34,2.5673737373737375,4.0,364,399,167,114,31,36.9,162.0,21.8,57650,66007,0.20833333333333334
13673,2260,2174,2029,59,11,127,86,2.468360655737705,1.5,1146,1114,411,237,112,34.2,285.0,12.6,48575,72396,0.29852216748768473
13674,145,145,145,0,0,0,0,4.677096774193549,0.0,60,85,15,15,0,5.6,0.0,0.0,-,N,0.0
13675,227,227,227,0,0,0,0,,0.0,99,128,20,13,13,30.1,0.0,0.0,64605,76853,0.3916083916083916
13676,17016,16323,14949,548,368,759,693,2.289145218861544,1.0,8921,8095,2722,1936,758,24.6,2243.0,18.4,50292,90054,0.21898134438851052
13677,112,112,112,0,0,0,0,3.858965517241379,0.0,68,44,27,27,27,56.1,12.0,10.7,-,N,0.5428571428571428
13678,276,276,276,0,0,0,0,2.2280645161290327,0.0,180,96,62,62,54,48.3,16.0,5.8,42708,54304,0.6551724137931034
13679,1989,1944,1944,0,0,0,45,2.797932489451477,0.8,943,1046,319,187,57,39.2,148.0,7.4,52063,74372,0.33125
13680,1460,1457,1356,10,0,63,3,3.018381742738589,5.2,682,778,244,166,70,35.8,453.0,31.4,42750,70672,0.3344103392568659
13681,885,881,860,4,3,9,4,2.7399380804953566,0.0,421,464,206,126,52,33.1,204.0,23.1,58125,59081,0.28253968253968254
13682,885,885,881,0,4,0,0,2.772789968652037,0.9,457,428,261,189,83,46.3,41.0,4.6,70625,82678,0.21558441558441557
13684,1107,1107,1076,0,0,26,0,2.4973137697516927,1.0,654,453,255,165,58,38.9,163.0,14.8,47279,76790,0.33052631578947367
13685,2520,2376,2246,21,12,56,144,2.1707605877268796,0.0,1170,1350,573,409,198,33.8,306.0,12.1,62583,85265,0.16591422121896163
13687,503,503,503,0,0,0,0,2.3434418604651164,5.6,244,259,163,91,32,40.1,70.0,13.9,49609,82182,0.29411764705882354
13690,835,826,787,3,13,3,9,2.1540932642487047,0.0,427,408,291,234,88,50.3,123.0,14.7,41429,61127,0.35424354243542433
13691,2878,2781,2670,22,12,79,97,2.648942042318307,1.9,1400,1478,485,368,145,39.9,441.0,15.6,59313,90278,0.3099510603588907
13692,64,64,64,0,0,0,0,,0.0,29,35,64,55,23,73.4,5.0,7.8,41964,56632,0.14814814814814814
13693,402,402,402,0,0,0,0,2.1934972677595628,0.0,205,197,205,177,71,60.4,13.0,3.2,45438,65218,0.47368421052631576
13694,1441,1423,1423,0,0,0,18,2.2118098159509203,0.0,690,751,440,314,125,49.4,123.0,8.6,60625,90832,0.28524046434494194
13695,184,184,172,4,0,4,0,2.5270588235294116,0.0,105,79,72,58,27,56.3,0.0,0.0,105139,90176,0.23958333333333334
13696,47,47,47,0,0,0,0,,0.0,18,29,31,13,0,60.4,0.0,0.0,-,N,0.723404255319149
13697,1896,1896,1860,0,19,0,0,2.4594545454545456,2.1,986,910,317,218,63,40.4,293.0,15.5,42623,60099,0.2855721393034826
13730,2683,2633,2549,34,21,43,50,2.239139515455305,1.5,1479,1204,692,596,317,49.7,336.0,12.6,54274,71220,0.2539404553415061
13731,880,869,823,0,8,2,11,1.9984353741496597,0.7,420,460,406,308,139,58.2,92.0,10.6,42917,72326,0.16445623342175067
13732,7796,7683,7505,42,62,42,113,2.5740949850547987,0.7,3901,3895,1918,1476,768,44.7,273.0,3.5,83078,110150,0.22485791944650357
13733,4861,4822,4722,11,6,59,39,2.2875716298731796,3.3,2506,2355,1449,1040,436,44.6,524.0,10.8,53428,72530,0.3495762711864407
13734,2028,1921,1917,3,1,3,107,2.401781472684086,4.3,898,1130,430,294,147,42.7,470.0,23.2,46700,70559,0.4496124031007752
13736,2153,2141,2112,0,7,18,12,2.7658023106546854,1.4,1004,1149,565,388,139,38.7,208.0,9.8,63309,78197,0.3266171792152704
13739,796,777,758,0,15,4,19,2.3351612903225805,2.1,392,404,270,232,68,50.8,62.0,8.0,62841,83354,0.2824427480916031
13740,547,534,499,0,19,0,13,2.288033472803347,3.8,275,272,224,143,42,53.8,55.0,10.1,70313,118558,0.16607773851590105
13743,3576,3552,3545,0,0,2,24,2.5614275466284075,1.5,1804,1772,1059,766,263,45.9,323.0,9.0,60433,82530,0.2277580071174377
13744,1143,1143,1135,1,0,1,0,2.4486206896551725,1.5,609,534,252,175,71,46.6,175.0,15.3,60909,82088,0.2983508245877061
13746,2000,1985,1897,11,5,11,15,2.3058823529411763,0.7,973,1027,670,495,238,51.4,189.0,9.5,61350,81689,0.2383654937570942
13748,3779,3505,3423,63,0,63,274,2.5605277401894453,0.0,1898,1881,938,676,325,43.0,330.0,8.8,57560,81848,0.3825503355704698
13750,919,889,830,21,30,21,30,2.1415384615384614,1.9,509,410,299,221,98,53.8,113.0,12.4,39414,78962,0.26475849731663686
13751,105,105,105,0,0,0,0,2.6270000000000002,20.0,31,74,0,0,0,31.1,9.0,8.6,-,48400,0.20754716981132076
13752,771,739,737,0,0,0,32,2.4791961414791,0.0,354,417,228,170,66,50.6,187.0,24.3,54583,99092,0.2616136919315403
13753,5777,5368,4744,402,83,484,409,2.180458468176915,3.1999999999999997,2917,2860,1274,847,404,29.9,655.0,16.0,54211,93309,0.23464633629817874
13754,3233,3155,3038,35,17,38,78,2.4411253776435045,1.1,1558,1675,1039,775,374,46.6,504.0,15.7,40417,67139,0.3349206349206349
13755,1148,1137,1127,0,0,10,11,2.256594488188976,0.0,565,583,404,306,121,53.6,228.0,20.1,48611,68715,0.24740484429065743
13756,414,414,414,0,0,0,0,2.19,4.2,225,189,164,105,10,56.4,52.0,12.7,52411,70663,0.3358208955223881
13757,1318,1278,1276,2,0,2,40,2.6428112449799195,8.8,652,666,305,264,64,42.9,181.0,13.7,53904,70610,0.280359820089955
13760,43350,42088,38530,1791,887,2566,1262,2.2475655647238137,0.8,21326,22024,11605,8942,4525,43.7,4774.0,11.1,56959,91252,0.25573133762788935
13774,192,192,192,0,0,0,0,2.741,0.0,125,67,10,10,10,28.1,26.0,13.5,34200,41795,0.654320987654321
13775,1769,1745,1733,12,0,13,24,2.4577576601671307,2.4,918,851,556,485,165,50.2,250.0,14.3,54500,77528,0.20888355342136855
13776,514,513,492,0,11,3,1,2.2198275862068964,0.0,225,289,212,150,81,53.8,24.0,4.7,65714,83491,0.23706896551724138
13777,352,352,341,6,0,11,0,2.4997872340425533,0.0,191,161,154,146,27,56.5,41.0,11.6,67292,66673,0.4591194968553459
13778,5557,5414,5320,25,17,37,143,2.4193706293706296,1.7000000000000002,2682,2875,1445,1054,456,43.8,665.0,12.2,58555,80387,0.27125658389766744
13780,1036,1029,978,0,0,0,7,,2.0,546,490,224,197,80,46.5,194.0,18.7,60139,82109,0.3797814207650273
13782,665,614,565,25,15,64,51,2.2845328719723184,0.0,294,371,266,197,56,52.6,44.0,6.7,54896,79476,0.23232323232323232
13783,2665,2592,2442,52,11,64,73,2.3405249110320283,1.1,1299,1366,822,617,266,50.1,360.0,13.6,41458,69693,0.3649956024626209
13784,106,106,106,0,0,0,0,2.6525,0.0,56,50,32,25,20,40.3,6.0,5.7,43750,65520,0.42857142857142855
13786,384,375,368,0,7,0,9,2.1542696629213482,5.6,230,154,147,105,48,52.8,19.0,5.0,52500,69412,0.2754491017964072
13787,3502,3479,3395,3,0,3,23,2.560614934114202,3.7,1484,2018,974,555,157,43.2,593.0,17.0,46013,63999,0.4269387755102041
13788,990,985,943,7,16,9,5,2.479348370927318,5.3,566,424,311,203,95,50.0,178.0,18.0,52639,76818,0.4385593220338983
13790,17875,17013,13871,1144,1507,1568,862,2.2665350019554165,1.1,8513,9362,4481,3477,1760,37.5,2924.0,16.7,45114,69536,0.25912190453403516
13794,70,70,70,0,0,0,0,,0.0,37,33,0,0,0,29.3,0.0,0.0,43125,37542,0.7
13795,3424,3131,3101,16,0,184,293,2.342406015037594,0.0,1593,1831,974,726,389,45.4,423.0,12.5,56008,79651,0.3897972531066056
13796,1400,1331,1320,9,0,11,69,2.3674999999999997,0.0,707,693,370,302,71,47.6,144.0,10.3,61250,82099,0.22237762237762237
13797,2194,2192,2181,0,0,5,2,2.6562424242424245,0.7,1024,1170,512,382,127,41.2,139.0,6.3,52462,65529,0.2975124378109453
13801,1413,1403,1302,7,11,17,10,2.317487684729064,3.1,772,641,371,235,84,46.2,327.0,23.2,35592,58790,0.3333333333333333
13802,562,522,476,0,15,0,40,,0.0,236,326,109,81,40,42.8,14.0,2.5,110625,98411,0.41935483870967744
13803,4240,4171,4040,57,10,65,69,2.816994680851064,4.5,2190,2050,790,616,270,36.6,500.0,11.8,61111,75119,0.32962588473205257
13804,353,353,341,0,0,12,0,2.30640522875817,0.0,169,184,92,70,37,44.9,48.0,13.6,56181,62319,0.39344262295081966
13806,288,284,254,0,27,0,4,2.3255645161290324,0.0,162,126,80,48,12,32.3,12.0,4.2,41000,68679,0.5038759689922481
13807,1278,1269,1206,22,23,30,9,2.302021660649819,0.0,589,689,398,220,73,50.5,169.0,13.2,58182,87852,0.3359621451104101
13808,1534,1502,1447,0,8,4,32,2.6067235494880547,1.0,723,811,404,293,106,42.1,157.0,10.3,49375,79132,0.31070889894419307
13809,1546,1484,1464,10,0,20,62,2.3563053435114507,0.6,874,672,402,313,126,46.2,318.0,20.6,52344,74377,0.4124668435013263
13810,1114,1104,1076,5,15,5,10,2.239156626506024,0.6,508,606,303,173,44,49.4,152.0,13.6,54250,79857,0.282642089093702
13811,4313,4286,4151,14,0,55,27,2.653556923076923,0.4,2290,2023,966,697,235,41.7,253.0,5.9,68550,101364,0.38981390793339865
13812,2482,2482,2375,22,14,82,0,2.6695156081808395,2.2,1255,1227,577,409,185,39.0,203.0,8.2,66696,83948,0.32166666666666666
13813,609,609,456,0,0,0,0,,0.0,357,252,227,143,92,57.2,173.0,28.4,51719,70357,0.27461139896373055
13815,12985,12660,12163,196,121,355,325,2.248568353067815,3.4000000000000004,6189,6796,3412,2522,1103,41.9,1988.0,15.9,47874,77016,0.2895102466134074
13820,21997,20529,18754,745,488,1156,1468,2.2014023676336674,3.1,10174,11823,5270,3961,2126,29.5,3877.0,22.3,48875,86463,0.22714343762698092
13825,3193,3191,3116,10,7,10,2,2.428994627782041,1.1,1545,1648,1041,735,281,47.5,298.0,9.3,51047,70194,0.2791970802919708
13826,15,15,15,0,0,0,0,,0.0,0,15,15,15,0,-,0.0,0.0,-,-,
13827,11315,11000,10519,70,129,262,315,2.11393470790378,0.3,5633,5682,3595,2735,1158,50.5,1414.0,12.7,56359,91194,0.26775855723224146
13830,5196,4964,4857,58,4,97,232,2.231348167539267,2.3,2756,2440,1548,1040,499,45.1,666.0,13.0,46250,66608,0.3127413127413127
13832,663,650,641,9,0,9,13,2.7482572614107887,4.6,345,318,145,93,39,39.6,169.0,25.5,48750,77927,0.2736842105263158
