ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,MODZCTA,cases,Total,zcta_cum.perc_pos,zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
11693,0,Far Rockaway,11052.0,46471727.1709791,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11693,294,627,46.89,11693,12919.0,9109.0,6065.0,2075.0,521.0,2914.0,3810.0,2.605898864809081,4.5,6308.0,6611.0,2485.0,1589.0,562.0,39.5,1796.0,14.0,59431.0,88947,0.2593532022828155,0.12299713600123849,0.4694635807725056,0.5305364192274944,0.1606161467605852,0.29491446706401425,22.757179348246765
11693,0,Far Rockaway,11052.0,1527599.16446935,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11693,294,627,46.89,11693,12919.0,9109.0,6065.0,2075.0,521.0,2914.0,3810.0,2.605898864809081,4.5,6308.0,6611.0,2485.0,1589.0,562.0,39.5,1796.0,14.0,59431.0,88947,0.2593532022828155,0.12299713600123849,0.4694635807725056,0.5305364192274944,0.1606161467605852,0.29491446706401425,22.757179348246765
11693,0,Far Rockaway,11052.0,12270916.5305379,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11693,294,627,46.89,11693,12919.0,9109.0,6065.0,2075.0,521.0,2914.0,3810.0,2.605898864809081,4.5,6308.0,6611.0,2485.0,1589.0,562.0,39.5,1796.0,14.0,59431.0,88947,0.2593532022828155,0.12299713600123849,0.4694635807725056,0.5305364192274944,0.1606161467605852,0.29491446706401425,22.757179348246765
11693,0,Far Rockaway,11052.0,3497515.7797433,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11693,294,627,46.89,11693,12919.0,9109.0,6065.0,2075.0,521.0,2914.0,3810.0,2.605898864809081,4.5,6308.0,6611.0,2485.0,1589.0,562.0,39.5,1796.0,14.0,59431.0,88947,0.2593532022828155,0.12299713600123849,0.4694635807725056,0.5305364192274944,0.1606161467605852,0.29491446706401425,22.757179348246765
11209,0,Brooklyn,69255.0,57842313.9612272,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11209,981,2614,37.53,11209,67809.0,56368.0,43770.0,1833.0,9044.0,2916.0,11441.0,2.297983069938901,8.4,32504.0,35305.0,16094.0,11492.0,5221.0,40.6,8978.0,13.3,72314.0,122678,0.16400765794511807,0.16947602825583624,0.6454895367871522,0.35451046321284785,0.027031809936734062,0.168723915704405,14.467106136353582
10304,0,Staten Island,41502.0,98226679.797328,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0,10304,1233,2919,42.24,10304,41064.0,30701.0,15539.0,10335.0,3918.0,11936.0,10363.0,2.819037538808919,5.7,20233.0,20831.0,8722.0,5840.0,2563.0,38.1,8564.0,21.5,52199.0,108490,0.25378993779066256,0.1422170270796805,0.37840931229300606,0.6215906877069939,0.2516803039158387,0.2523621663744399,30.026300409117475
10314,0,Staten Island,85430.0,473985727.130054,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0,10314,2421,6243,38.78,10314,90761.0,77035.0,56696.0,3352.0,14904.0,4427.0,13726.0,2.8564555831898475,4.9,43762.0,46999.0,21563.0,15645.0,6313.0,40.8,8558.0,9.5,86742.0,116742,0.1989647127442403,0.17237580017849077,0.6246735932834587,0.37532640671654127,0.03693216249270061,0.1512323575103844,26.674452683421293
11228,0,Brooklyn,43080.0,43893024.7317224,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11228,568,1368,41.52,11228,44994.0,39156.0,22126.0,396.0,15917.0,692.0,5838.0,2.927548673722724,8.9,22024.0,22970.0,10828.0,7825.0,3950.0,41.1,6165.0,13.8,67911.0,106252,0.24139774494556765,0.17391207716584434,0.49175445614970886,0.5082455438502911,0.00880117348979864,0.12975063341778903,12.62390540961017
10305,0,Staten Island,41746.0,111441829.317708,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0,10305,1101,2873,38.32,10305,42298.0,35378.0,26370.0,2628.0,5405.0,3239.0,6920.0,2.8229666507535978,6.300000000000002,20145.0,22153.0,9210.0,6298.0,2896.0,39.5,5365.0,12.9,76489.0,102939,0.21195330571843565,0.1488959288855265,0.6234337320913519,0.3765662679086481,0.062130597191356565,0.16360111589200435,26.02959950825098
11229,0,Brooklyn,79608.0,60119326.1442695,NY,Kings,36,047,http://www.usps.com/,0.0,0.0,11229,1329,3144,42.27,11229,83615.0,74576.0,49672.0,4267.0,18445.0,5488.0,9039.0,2.6942202546371097,8.8,40272.0,43343.0,21129.0,14926.0,6438.0,40.8,12184.0,14.6,60873.0,97025,0.2520735379576312,0.17850864079411588,0.5940560904143993,0.40594390958560067,0.05103151348442265,0.10810261316749387,15.894277342582072
