objectid,shape_area,shape_len,zip,zip_code,cases,total_tested,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
7.0,63547755.9216,45646.4880277,60657,60657,224,1630,70052,65151,56392,1771,4832,2568,4901,1.9051146788990825,1.5,35414,34638,7984,5618,2295,31.2,5318.0,7.6,92295.0,227597,0.08173228969006957,0.08019756752126991,0.8050019985153886,0.19499800148461144,0.025281219665391423,0.06996231370981557,3.197624621709587
10.0,104114706.691,42448.2828439,60636,60636,404,1126,32203,29731,338,28931,13,29413,2472,2.8758361959862597,3.3,15225,16978,7724,6194,2711,40.0,10182.0,31.7,27310.0,49341,0.4313391526506281,0.19234232835450113,0.010495916529515883,0.9895040834704841,0.8983945595130889,0.07676303449989132,12.54541502344502
11.0,80526076.0889,55092.8632931,60649,60649,498,2072,46024,44841,1315,42598,181,43404,1183,2.138826688209856,3.5,19172,26852,9953,6570,2779,37.7,15134.0,33.5,30222.0,68395,0.3146725614810721,0.14275160785677038,0.02857204936554841,0.9714279506344516,0.9255605770902138,0.025703980531896403,10.820441508778028
12.0,452837422.002,102528.036078,60617,60617,580,2783,82534,51455,5215,45695,166,46857,31079,2.917352064708387,3.0,38160,44374,16945,12791,6227,37.0,19210.0,23.3,40265.0,59976,0.3887258342372232,0.15497855429277632,0.06318608088787651,0.9368139191121235,0.5536506167155354,0.37655996316669493,7.027406886858748
14.0,187526657.189,59703.2158155,60633,60633,180,1135,12871,7081,4048,2987,0,3043,5790,2.686877402819308,3.0,6786,6085,2417,1676,866,38.9,2676.0,21.4,47083.0,72377,0.3307720453713868,0.13021521249320178,0.3145054774298811,0.6854945225701189,0.23207210006992463,0.44984849662030924,13.98492735607179
16.0,106718949.386,42663.1966757,60612,60612,414,2057,34311,30105,7334,20564,1585,21222,4206,2.4472325369045804,3.8,16680,17631,4567,3136,1179,31.6,10715.0,32.6,41300.0,72949,0.23202924055773655,0.0913992597126286,0.21375069219783743,0.7862493078021626,0.5993413191104894,0.12258459386202676,12.066101250327883
48.0,4294901.99439,12245.8084015,60604,60604,10,47,782,748,479,37,232,54,34,1.62776617954071,6.0,369,413,185,93,18,32.4,174.0,22.3,116250.0,376124,0.011952191235059759,0.11892583120204604,0.612531969309463,0.38746803069053704,0.04731457800511509,0.043478260869565216,12.78772378516624
17.0,99418122.471,40394.4100077,60624,60624,475,1673,36158,34243,989,32677,113,33235,1915,2.989070239202096,6.1,16906,19252,5446,3922,1833,30.7,15769.0,44.2,22992.0,41187,0.4421711509715994,0.10846838873831517,0.02735217655843797,0.9726478234415621,0.9037280823054372,0.05296200011062559,13.136788539189116
47.0,89515884.463,84430.9732159,60656,60656,151,1054,27579,24197,21053,325,2013,398,3382,2.2828325612177363,1.9,13992,13587,6580,4637,2189,40.5,2247.0,8.2,61599.0,93770,0.2929485434249932,0.16813517531455094,0.7633706805903042,0.23662931940969578,0.011784328655861345,0.1226295369665325,5.475180390877116
18.0,99092221.5388,40030.8385293,60644,60644,683,2233,47712,44644,1392,42711,90,43369,3068,2.8644249954097565,5.0,22043,25669,8816,6201,2676,33.3,16119.0,34.5,27262.0,51503,0.4499214691313278,0.1299673038229376,0.029175050301810865,0.9708249496981891,0.8951836016096579,0.06430248155600268,14.31505700871898
49.0,115380139.149,77392.3226132,60655,60655,181,1228,28804,26414,23795,1913,421,2077,2390,2.746356172417164,1.3,13876,14928,5786,3731,1513,38.7,1040.0,3.7,97572.0,129337,0.1521454645636752,0.12953062074711846,0.8261005415914456,0.17389945840855436,0.06641438689070962,0.0829745868629357,6.283849465352034
20.0,36301276.3485,37973.3461051,60605,60605,131,850,27519,25911,15781,4550,4431,5165,1608,1.767865128020195,1.7999999999999998,13138,14381,3929,2569,626,33.9,2359.0,9.6,111164.0,240969,0.07684647302904564,0.09335368290998947,0.5734583378756496,0.4265416621243504,0.16534031033104402,0.05843235582688325,4.760347396344344
21.0,67759827.8103,34316.3615428,60653,60653,318,1473,31972,31283,1374,28876,427,29491,689,2.1582902229845633,1.7000000000000002,13703,18269,5892,4122,1825,35.1,10968.0,34.9,29569.0,71372,0.2488342177198907,0.1289253096459402,0.0429751032153134,0.9570248967846866,0.9031652696109096,0.021550106343050168,9.946202927561616
22.0,213490325.264,58540.9204127,60609,60609,798,2172,61495,28635,9172,14961,3872,15609,32860,2.966971800223268,6.1,30270,31225,9609,6977,2428,31.7,17061.0,27.9,35179.0,55621,0.4229062449572374,0.1134563785673632,0.14915033742580697,0.850849662574193,0.24328807220099194,0.5343523863728759,12.976664769493453
24.0,141235867.545,47847.080382,60618,60618,591,2526,94395,56243,45553,1995,5723,3429,38152,2.6802410874583225,2.4,48151,46244,12474,8526,3452,34.4,10686.0,11.4,73810.0,126673,0.2444819840724721,0.09032258064516129,0.48257852640500026,0.5174214735949998,0.021134593993325918,0.40417394989141375,6.26092483712061
25.0,109667069.368,45823.5398375,60616,60616,273,1610,54464,49864,13160,13532,22028,14292,4600,2.1199156325510917,4.4,25807,28657,11696,8683,3837,36.8,13106.0,25.3,45997.0,82787,0.23103247415174025,0.15942641010575792,0.24162749706227968,0.7583725029377203,0.24845769682726204,0.08445945945945946,5.012485311398355
26.0,4847124.8171,14448.1749926,60602,60602,7,56,1244,1163,788,47,242,67,81,1.9712126245847177,3.5,693,551,10,5,0,30.6,29.0,2.4,157125.0,253316,0.035483870967741936,0.0040192926045016075,0.6334405144694534,0.3665594855305466,0.03778135048231511,0.06511254019292605,5.627009646302251
27.0,9166245.79985,19804.5821088,60601,60601,57,379,14675,13401,9677,767,2641,818,1274,1.5823759025270758,2.7,7191,7484,2934,2075,1013,34.9,1183.0,8.4,103243.0,186892,0.055036908380373416,0.141396933560477,0.6594207836456559,0.34057921635434407,0.052265758091993186,0.08681431005110732,3.8841567291311754
28.0,176505462.522,53169.2177202,60608,60608,873,2800,79205,39059,15148,13657,9528,14389,40146,2.684272056815077,4.8,43845,35360,11411,7852,3032,32.4,15619.0,22.5,44043.0,69400,0.3575745249578709,0.09913515560886307,0.19125055236411842,0.8087494476358816,0.1724259832081308,0.5068619405340572,11.022031437409254
29.0,64664293.9426,39143.6395171,60607,60607,295,1123,29591,27134,15440,4260,6645,4672,2457,2.0200460110738514,3.1,14724,14867,2306,1604,651,30.1,5816.0,21.7,93508.0,185619,0.07702657248570467,0.054205670643100945,0.5217802710283532,0.4782197289716468,0.1439626913588591,0.0830320029738772,9.969247406305971
30.0,9357755.68017,13132.5654896,60661,60661,26,241,9926,9286,5091,357,3553,438,640,1.6645153104381665,5.2,5109,4817,392,217,11,30.8,1346.0,13.7,107245.0,183566,0.03321583514099783,0.021861777150916785,0.5128954261535361,0.4871045738464639,0.03596614950634697,0.06447713076768084,2.619383437437034
31.0,6766410.89809,12040.4402354,60606,60606,31,236,3101,2906,2129,73,561,115,195,1.486890595009597,3.4,1502,1599,603,431,6,37.2,237.0,7.6,131477.0,278453,0.039231071008238534,0.13898742341180265,0.6865527249274428,0.3134472750725572,0.023540793292486296,0.06288294098677846,9.99677523379555
44.0,48551330.3923,28833.9637574,60827,60827,210,961,28577,27355,760,26109,46,26627,1222,2.6235600405492585,3.7,12911,15666,4469,2763,829,32.7,9620.0,33.7,31954.0,54422,0.4279492886867318,0.09668614620149071,0.026594814011267804,0.9734051859887322,0.9136368408160409,0.04276166147601218,7.348567029429262
45.0,131073763.12,49198.9402832,60630,60630,396,1722,57344,41337,32184,826,6415,1960,16007,2.7245298778159603,3.0,27889,29455,12452,8738,4024,40.2,5054.0,8.9,72092.0,104899,0.2396065706753194,0.15237862723214285,0.5612444196428571,0.4387555803571429,0.014404296875,0.27913992745535715,6.905691964285714
46.0,47961494.4,31296.2271441,60642,60642,92,585,20201,16127,12126,2045,1410,2332,4074,2.17312965561913,2.5,10109,10092,1966,1322,542,31.2,2231.0,11.0,101939.0,146170,0.09844559585492227,0.06544230483639424,0.6002673134993317,0.3997326865006683,0.10123261224691847,0.20167318449581703,4.554229988614424
50.0,69698411.4356,38931.5266612,60659,60659,411,1226,41068,33188,16363,4107,10916,4687,7880,3.08,8.9,21031,20037,6730,4603,1728,34.7,8758.0,21.5,51383.0,78893,0.3726714379980712,0.11208239992208045,0.3984367390669134,0.6015632609330865,0.10000486997175416,0.19187688711405473,10.007791954806663
52.0,194062612.162,77647.3180069,60634,60634,727,3420,75995,46930,41060,1337,4042,2117,29065,2.8936996477255317,3.2,36934,39061,15922,11417,4587,39.1,7053.0,9.3,66741.0,91213,0.3030451486476033,0.15023356799789458,0.5402987038620962,0.4597012961379038,0.01759326271465228,0.3824593723271268,9.566418843344957
53.0,53990894.8848,31196.3206564,60613,60613,258,1169,50113,44451,36600,2854,3306,3253,5662,1.8786797232409544,2.2,25205,24908,6297,4429,1974,33.1,5599.0,11.2,82321.0,191871,0.11169838904664174,0.0883802606110191,0.7303494103326482,0.2696505896673518,0.05695129008440924,0.11298465468042225,5.14836469578752
54.0,31598157.0867,24208.6988788,60610,60610,153,1042,39019,36418,26809,5666,3162,6143,2601,1.6017396536163997,1.9,17874,21145,8234,6029,2146,33.6,4383.0,11.7,86803.0,226991,0.09251915450660303,0.1545144673107973,0.6870755273072093,0.31292447269279067,0.14521130731182244,0.06665983238934878,3.9211666111381636
55.0,15869961.3469,17119.6988775,60654,60654,94,525,19135,18138,14124,1028,2388,1139,997,1.5751806430228703,2.9,9754,9381,1881,1127,325,33.1,1296.0,6.8,112699.0,272414,0.04066918661626767,0.05889730859681212,0.7381238568068984,0.2618761431931016,0.0537235432453619,0.052103475307029,4.9124640710739484
56.0,211755252.573,63253.238669,60632,60632,1308,2937,91039,14605,7996,1005,5143,2405,76434,3.639664499558552,10.9,46372,44667,12635,8702,3370,30.9,17966.0,19.9,42758.0,59458,0.4833466835482288,0.09558540845132306,0.0878304902294621,0.9121695097705379,0.011039224947549952,0.8395742483990378,14.367468886960534
57.0,155285532.005,53406.9156168,60623,60623,1526,3275,85979,29115,2508,26098,76,27439,56864,3.4172209558088382,9.7,41947,44032,11671,7805,3122,30.3,28488.0,33.4,31634.0,45650,0.4972913731016126,0.09077798066969842,0.02916991358354947,0.9708300864164505,0.3035392363251492,0.6613707998464742,17.748519987438794
58.0,211114779.439,58701.3253749,60629,60629,1443,3510,111850,32418,9203,21865,404,23214,79432,3.5083344330285606,5.3,54815,57035,15984,11127,3760,31.2,20400.0,18.3,42019.0,61329,0.4738301790508309,0.09948144836835048,0.08227983907018328,0.9177201609298167,0.19548502458649977,0.7101654000894054,12.90120697362539
59.0,211696050.967,58466.1602979,60620,60620,740,2903,68096,67185,755,65542,272,66170,911,2.672319030072507,1.9,30001,38095,16177,11842,5982,40.8,17131.0,25.4,35890.0,58872,0.3840623368277302,0.17390155075187969,0.011087288533834587,0.9889127114661654,0.9624941259398496,0.013378171992481203,10.867011278195488
60.0,125424284.172,52377.8545408,60637,60637,353,2087,47454,46113,6858,35951,2129,36745,1341,2.2849636023294506,2.6,20877,26577,8111,5463,2277,30.7,15974.0,36.4,28785.0,72447,0.2502679528403001,0.11512201289669996,0.14451890251612087,0.8554810974838791,0.7575968306149112,0.028258945505120748,7.438782821258482
61.0,167872012.644,53040.9070778,60619,60619,615,2632,61258,60389,854,58571,193,59701,869,2.3257032858123043,2.3,27681,33577,15382,10410,4714,41.3,15522.0,25.4,33454.0,60557,0.3436007040482776,0.16993698782199876,0.013941036272813347,0.9860589637271866,0.9561363413758203,0.014185902249502107,10.03950504423912
