zip_code,confirmed_cases
48219,772
48223,297
48228,627
48235,915
48227,584
48221,615
48238,325
48204,354
48203,142
48206,242
48210,175
48208,158
48216,53
48202,219
48201,170
48226,77
48234,432
48212,113
48211,61
48207,392
48205,482
48213,321
48214,371
48224,580
48215,152
48209,183
48217,87
